"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","A.J. Lawson","Tor","G","24.5","2","4.8","21","0","2","0.5","2","0.5","2","1","1","0.922","4.5","1","0","0","0","0","5.5","4.5","5.5","0","159.2","122"
"","Dariq Whitehead","Bro","G-F","20.4","4","7","22.3","21.4","0","0","1","0","10","0.6","0.818","0.818","4.5","0.8","0.3","0.8","0.3","0.8","5.3","4.8","5.5","5.9","108.1","111.9"
"","Wendell Moore Jr.","Det","G","23.3","13","14","12.9","16.2","14","0.929","30","0.6","11","0.273","0.549","0.615","4.5","3.2","1.4","0.6","0.2","0.6","7.7","5.8","9.1","7.8","124.9","109.5"
"","Luke Kornet","Bos","C-F","29.5","26","16.9","9.8","12","39","0.744","73","0.603","0","0","0.603","0.649","4.5","5.1","1.5","0.5","1.1","0.4","9.6","6","11","7.7","148.6","106.3"
"","Antonio Reeves","Nor","G","22.1","16","9.3","22.1","6.6","7","0.857","36","0.528","34","0.265","0.464","0.486","4.4","1.1","0.6","0.3","0","0.3","5.6","5.1","6.2","6.1","102.7","120.4"
"","Sandro Mamukelashvili","San","F-C","25.6","20","9.2","16.6","13.8","15","0.733","17","0.765","39","0.436","0.688","0.703","4.4","2.8","0.4","0.2","0.3","0.5","7.2","4.8","7.5","7.4","124.5","107.7"
"","Kyle Lowry","Phi","G","38.8","22","20.3","10.3","14.8","23","0.783","20","0.4","60","0.35","0.494","0.538","4.4","1.9","2.9","1","0.4","0.6","6.3","7.3","9.2","5.7","119.5","107.3"
"","Jamal Cain","Nor","F","25.8","16","14","12.9","11.2","16","0.625","27","0.593","28","0.321","0.536","0.556","4.3","2.8","0.6","0.5","0.4","0.4","7.1","4.9","7.8","5.5","114","113.8"
"","Gabe Vincent","Lal","G","28.5","31","18.9","11.7","12.4","8","0.5","46","0.457","88","0.33","0.481","0.484","4.3","1.3","0.9","0.8","0.2","0.6","5.6","5.2","6.5","3.6","94.8","109.5"
"","KJ Simpson","Cha","G","22.4","10","13.4","19.8","17.4","13","0.769","23","0.478","24","0.125","0.33","0.389","4.1","1.7","1.9","0.7","0.2","1","5.8","6","7.7","7.1","90.5","109.3"
